Image,png,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo
1_voice_en_35042678_ahead,0.png,37.80194092,4.075217247,6.784451784,4.528373718,66.66918182,0.356172651,0.417176664,3.840484381,49.83421707,51.66474915,0.578845382,0.444765896,65.33532715,0.505031407,0.067321777,3.35402441,3.829725981,4.272051811,0.749772078,0.724518239,0.734709641
1_voice_en_35042678_ahead,1.png,42.22137451,3.772318125,7.225451566,4.400609493,64.28020477,0.321538597,0.387623101,3.868875504,43.73545074,53.46015167,0.539647341,0.536921442,52.92634964,0.46373418,0.052215576,3.439080954,3.736724377,4.341662407,0.568204453,0.674783707,0.55411875
1_voice_en_35042678_ahead,2.png,45.50262451,3.88267231,8.444390008,4.049833775,69.14611053,0.336830288,0.35546267,3.857861042,41.1523056,53.16798782,0.409697056,0.524394929,51.97754288,0.441791415,0.061187744,3.40132165,3.80091548,4.075305462,0.485791346,0.633074105,0.476169128
1_voice_en_35042678_ahead,3.png,46.69598389,3.943320036,8.46782181,3.836709261,68.4769516,0.34484604,0.304734707,3.756174088,44.61411285,51.3225441,0.421252787,0.514147758,45.3600235,0.436671883,0.036712646,3.345723152,3.957166672,4.088701725,0.518751397,0.604336083,0.486582203
1_voice_en_35042678_ahead,4.png,44.02215576,3.926478624,8.016259485,4.332384109,68.89307404,0.304787815,0.326913953,3.861176252,46.48799896,54.6053009,0.463698298,0.560100377,53.62892914,0.480049223,0.072998047,3.461263418,4.033965111,4.246817589,0.576743301,0.637912393,0.505118804
1_voice_en_35042678_ahead,5.png,48.69207764,3.793661594,8.644295747,4.810050964,69.88313293,0.313718647,0.350261569,3.841008902,46.5515976,57.71712494,0.441045821,0.494755954,56.34509277,0.461561888,0.059753418,3.552371979,3.867876768,4.368632793,0.574363915,0.65098691,0.537535583
1_voice_en_35042678_dinet,0.png,30.20281982,5.979588509,4.410576144,5.62752533,59.74998474,0.441274613,0.368947566,4.589826107,57.83187866,60.34644318,0.59732306,0.618133187,39.60454941,0.373236358,0.387695313,4.508036613,4.767671585,5.048052311,0.83380657,0.857837796,0.823284944
1_voice_en_35042678_dinet,1.png,27.2086792,6.324231625,4.093268686,5.628129482,61.43608475,0.476238161,0.383398712,4.719191551,59.86179733,61.83176422,0.559898198,0.618709803,44.97782135,0.406513542,0.364257813,4.622158527,4.814045906,5.004024506,0.821083193,0.840235472,0.821403094
1_voice_en_35042678_dinet,2.png,29.37811279,6.007124424,4.343487352,5.565054893,60.62216187,0.44590202,0.360441387,4.607083797,58.98188019,60.80464935,0.522904813,0.603234529,41.29198074,0.383046746,0.335205078,4.486340046,4.781870842,4.911036491,0.807003161,0.849849164,0.813289109
1_voice_en_35042678_dinet,3.png,27.58514404,6.337752819,4.088480742,5.618731976,61.4995575,0.476113141,0.380350441,4.698282242,59.25505066,61.96453857,0.54629606,0.610428989,44.56206131,0.408389807,0.338623047,4.535511971,4.832518578,4.861752033,0.804458236,0.847445369,0.815404103
1_voice_en_35042678_dinet,4.png,30.64715576,6.070885658,4.290809281,5.597280025,61.03416443,0.453217596,0.358250231,4.627796173,58.52779007,61.05604935,0.526730776,0.596526146,41.82448959,0.391280979,0.368408203,4.487496376,4.809319496,4.988106728,0.804702431,0.841330469,0.809348248
1_voice_en_35042678_dinet,5.png,28.30389404,6.324193001,4.102946042,5.605414867,61.09339142,0.473134249,0.38176176,4.691928864,60.30803299,62.37740326,0.541065037,0.612012565,44.96544647,0.408123672,0.358886719,4.561868191,4.788554192,4.982732773,0.832439879,0.857969642,0.825372938
1_voice_en_35042678_dreamtalk,0.png,13.55828857,6.288223743,6.124123225,5.108911037,73.82065582,0.6520015,0.51396364,4.267379761,54.41002655,61.64991379,0.743456542,0.52981621,77.88209534,0.624289751,0.253173828,3.616769314,4.195118904,4.984327793,0.589884807,0.610329211,0.566261933
1_voice_en_35042678_dreamtalk,1.png,14.61053467,6.499828815,6.484367414,5.058223724,73.27096558,0.608834028,0.493117154,4.16425848,53.82078552,60.50270081,0.733408093,0.556657374,71.679039,0.563078642,0.209350586,3.648725033,4.139620304,4.86330843,0.635147334,0.623829484,0.610195602
1_voice_en_35042678_dreamtalk,2.png,17.21502686,6.616913319,6.399034859,5.021196365,72.95206451,0.618955612,0.44242689,4.244075775,57.25763702,59.60211182,0.656766057,0.486861885,68.68005371,0.552493215,0.188232422,3.53519249,4.352549553,4.890171528,0.616549437,0.699323237,0.635838766
1_voice_en_35042678_dreamtalk,3.png,16.38250732,6.50128746,6.929894338,5.106107235,72.79933929,0.625642776,0.456879318,3.99984622,53.11203766,58.82440567,0.700012624,0.526668727,70.41680145,0.557616651,0.181518555,3.532852173,4.157265663,4.595241547,0.639335818,0.653272867,0.610841556
1_voice_en_35042678_dreamtalk,4.png,19.87469482,6.345538616,6.903220382,5.037475109,71.90200043,0.621723413,0.41253531,4.223588943,52.64831161,60.38754272,0.681415617,0.524307609,65.58960724,0.553745687,0.187866211,3.625508785,4.224148273,4.871263504,0.634388134,0.70778954,0.635571273
1_voice_en_35042678_dreamtalk,5.png,22.03192139,5.846768856,6.678874522,4.857124329,70.69335938,0.597584605,0.375005454,4.162306309,52.27570343,60.09768677,0.589965105,0.517879963,65.05180359,0.521263897,0.177856445,3.502094746,4.268173218,4.646827221,0.584354645,0.699483752,0.58984527
1_voice_en_35042678_iplap,0.png,31.02996826,5.846810818,4.451297072,5.534468174,57.1280098,0.440209895,0.348880649,4.56930685,51.91000366,55.64231873,0.502123296,0.583029032,33.97101593,0.367236853,0.354003906,4.296260834,4.781765461,5.076440811,0.959875173,0.986534357,0.960250897
1_voice_en_35042678_iplap,1.png,28.65985107,6.065404892,4.14727083,5.472814083,59.42977142,0.47307682,0.374640018,4.669455528,53.05673599,55.82407761,0.520540833,0.601906419,39.72305679,0.392753512,0.303710938,4.39693737,4.807371616,4.999951363,0.954344857,0.961216092,0.952874092
1_voice_en_35042678_iplap,2.png,32.27215576,5.823534012,4.431562571,5.492927551,57.60313034,0.437480569,0.344183356,4.601566792,52.53831482,56.54351807,0.466362089,0.576115131,35.37224579,0.368204027,0.351806641,4.370151043,4.776136398,5.027089596,0.961636363,0.988254786,0.967689452
1_voice_en_35042678_iplap,3.png,29.70623779,6.08329916,4.156047651,5.504005909,58.91889954,0.471663535,0.375139147,4.689790726,52.96882248,56.54374695,0.506183624,0.59750396,40.11488342,0.394251347,0.320068359,4.391293526,4.758794308,5.03406477,0.968044866,0.986179113,0.970186688
1_voice_en_35042678_iplap,4.png,33.31219482,5.869229317,4.399392478,5.533588409,59.05046844,0.440113991,0.342869788,4.617830276,52.17116547,56.49494171,0.482285351,0.585733473,35.61392975,0.366103321,0.359130859,4.339848518,4.795003414,5.002508163,0.959227255,0.972087145,0.960185027
1_voice_en_35042678_iplap,5.png,29.80194092,6.093381882,4.158454946,5.490922928,58.68427658,0.471199393,0.373498261,4.678905487,53.63633347,56.07728958,0.514739633,0.599766076,39.81789017,0.395148218,0.319824219,4.379045486,4.779460907,5.063979149,0.962073519,0.986299276,0.967634382
1_voice_en_35042678_mkittalk,0.png,18.37957764,4.749554634,6.216824015,4.82538414,71.17845917,0.328770638,0.422830015,3.971121311,55.31851959,61.65126038,0.757147551,0.599169791,67.05919647,0.577566087,0.246704102,4.107860565,3.996802092,4.903728008,0.8355044,0.837625682,0.813216147
1_voice_en_35042678_mkittalk,1.png,27.38641357,4.272507668,6.897692447,4.687507629,69.7282486,0.321608156,0.351474643,3.781224251,43.34880829,60.57962036,0.653796732,0.563735664,56.43644333,0.519049764,0.196044922,3.586544991,4.006654739,4.673084259,0.751652519,0.813532889,0.785067262
1_voice_en_35042678_mkittalk,2.png,30.00457764,4.383775711,7.297651147,4.66347599,69.40996552,0.339966208,0.350316972,3.879003525,47.63502502,59.89060974,0.713267088,0.567467093,54.99753952,0.534691811,0.202270508,3.756504536,3.876788616,4.743618488,0.795889331,0.88533628,0.815537243
