Image,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo,avset,distance,confi,Score
1_voice_en_35042678_ahead,44.64983469,3.89176125,8.024208376,4.338106398,68.13290601,0.327537203,0.352599202,3.836714048,45.3830357,53.93209919,0.468621354,0.514772609,53.91411113,0.463570904,0.058428932,3.434306981,3.881106964,4.235044984,0.572943763,0.650408066,0.540530105,1,5.09995842,0.876270294,0.6
1_voice_en_35042678_dinet,28.88290352,6.184571719,4.211871211,5.605895701,60.95518937,0.461955777,0.37229186,4.65832235,59.19938525,61.47123626,0.54625475,0.6091419,43.03832437,0.396346371,0.357949149,4.532959627,4.799997352,4.963030862,0.816909128,0.849183828,0.817876804,-1,3.205827713,0.620781898,1.8
1_voice_en_35042678_dreamtalk,17.75878475,6.324119421,6.622844455,5.020816409,72.40509963,0.618927567,0.441315814,4.17244183,53.76114306,60.11152904,0.676774615,0.522787084,69.22609841,0.557711495,0.19610815,3.571531047,4.22628276,4.79255577,0.616316558,0.670962645,0.609244203,-1,3.990301132,0.560811996,1.4
1_voice_en_35042678_iplap,30.83692494,5.97120041,4.282574928,5.50464817,58.53205912,0.456379558,0.360368069,4.641688533,52.76709396,56.21894978,0.498715668,0.591163436,37.61086392,0.381331092,0.334459458,4.364229449,4.782579733,5.033859953,0.961119259,0.980355564,0.963630694,-1,0.227535248,3.532155991,1
1_voice_en_35042678_mkittalk,27.51125107,4.283020433,6.874581402,4.610787854,68.8076358,0.319215104,0.343974151,3.823983694,45.05861136,59.18442791,0.652786548,0.551534688,54.68996711,0.526915948,0.194339805,3.620738399,3.910934371,4.598639236,0.798172503,0.849457041,0.804565262,-3,2.044986725,0.342342377,2.5
1_voice_en_35042678_sad,34.07342993,5.372972933,5.635486619,5.819397814,73.52758887,0.35461507,0.408461532,4.931825899,67.42897126,61.53287649,0.517954022,0.61074098,72.26214389,0.541491894,0.514557908,4.659351059,4.853655187,5.212913812,0.794743269,0.897903052,0.810602783,0,4.132128716,0.008663177,4.2
1_voice_en_35042678_vidtalk,38.62550841,3.726813846,5.877285147,5.836252966,49.59348538,0.257898679,0.251002224,4.296656973,52.16016427,53.43853521,0.381824232,0.531500122,24.85729713,0.291135703,0.299168158,4.25306469,4.695732067,5.154537602,0.835631343,0.885137322,0.799565378,-1,4.325737,0.052297592,2.1
1_voice_en_35042678_wavlip,41.95637427,5.778062267,4.931007908,4.880949743,55.72441139,0.458360365,0.358934731,4.718152877,42.64601178,51.29427448,0.325803608,0.391100289,30.45580857,0.336414464,0.242225014,4.220288582,4.752852549,4.647217464,0.871519224,0.88991155,0.871712132,-2,5.012215137,0.604597569,1.7
1_voice_en_35042679_ahead,44.42294221,3.922487082,8.316266681,4.356741759,67.38894279,0.331922823,0.371376272,3.772851154,44.82068759,54.70467796,0.484339321,0.526429585,54.9569593,0.460729792,0.06056457,3.449145811,3.876508093,4.345247222,0.541038472,0.64426947,0.502125351,1,4.398220062,0.802967072,0.2
1_voice_en_35042679_dinet,29.18199952,6.186315958,4.210994436,5.604183335,60.80742538,0.462375086,0.372082108,4.653251729,59.13975782,61.36829972,0.542888756,0.607447924,43.20458366,0.397512333,0.356095603,4.53796666,4.803542499,4.920793019,0.813770632,0.843048581,0.814512359,-1,2.605859756,0.808925629,2.3
1_voice_en_35042679_dreamtalk,20.23209288,6.250392623,6.576481835,4.901711132,72.24919717,0.609416151,0.422261439,4.191425486,53.44944879,60.82875691,0.653966709,0.503262946,66.05670173,0.549061394,0.169343843,3.572524043,4.169332403,4.754468526,0.611844723,0.675553837,0.608210606,-1,4.229855537,0.032941818,1.3
1_voice_en_35042679_iplap,31.08334952,5.973808541,4.279488828,5.495949731,58.67420871,0.456658903,0.360543083,4.646158852,52.79309865,56.28251074,0.497441587,0.591407157,37.84759111,0.381618392,0.335086241,4.367875197,4.773531011,5.014891053,0.958832659,0.980127166,0.962073028,-1,0.406714439,2.612996101,2.1
1_voice_en_35042679_mkittalk,23.93044069,4.126003716,7.065435791,4.596773949,66.67117574,0.316250326,0.359960629,3.792459656,46.39756861,57.58667471,0.676560131,0.574669649,56.27690071,0.525749509,0.189277323,3.761542082,3.927161652,4.637736571,0.772775033,0.795475224,0.766703746,-3,2.54668808,0.606150627,2.5
1_voice_en_35042679_sad,33.8051661,5.237922201,5.800818682,5.790234611,73.57862539,0.370735723,0.4129375,4.891763463,67.29214562,61.44028819,0.52943444,0.614444559,72.83087255,0.538360491,0.507177161,4.717692155,4.856546486,5.154179311,0.779399162,0.872639488,0.771436096,-1,3.079252243,0.675384521,4.6
1_voice_en_35042679_vidtalk,38.68557338,3.719140541,5.873519505,5.83403631,49.6248622,0.25679632,0.250918988,4.298149784,52.11288399,53.35058053,0.380928621,0.529830155,25.01622417,0.293688248,0.300354633,4.250781156,4.698297277,5.132732945,0.839184789,0.888141611,0.807058055,-1,3.64312458,0.253099442,3.5
1_voice_en_35042679_wavlip,41.67902433,5.795147361,4.920657641,4.896256613,55.448448,0.45432502,0.358721575,4.713270788,42.77242691,51.29850015,0.327963327,0.387789619,30.83543566,0.338607777,0.240070424,4.212860054,4.766970614,4.651609751,0.873587678,0.893291625,0.870808798,-2,4.167326927,0.738746643,1.7
1_voice_en_35042680_ahead,42.59535404,3.850002087,8.342531498,4.396548652,66.75423977,0.331153967,0.372936031,3.880004797,46.29400162,57.4881562,0.49669853,0.513249304,58.42709633,0.467750321,0.061395944,3.53486835,3.821197758,4.419829412,0.570752916,0.651645911,0.546828491,0,6.199493408,0.052463531,0.1
1_voice_en_35042680_dinet,29.25224786,6.138410548,4.250276334,5.614977001,60.44630313,0.458760237,0.369723814,4.644779362,58.89209779,61.03847309,0.540891258,0.606214576,42.23341038,0.389752116,0.366310571,4.535285003,4.79471562,4.956574667,0.821744116,0.846138804,0.821168632,0,3.699328423,0.793279648,2.4
1_voice_en_35042680_dreamtalk,16.06771375,6.390444775,6.497983,5.018399681,72.92397314,0.631226228,0.456345718,4.226647289,54.05912625,61.07434765,0.690593932,0.538248727,70.2794078,0.572032807,0.209811902,3.65485998,4.211208763,4.939098798,0.618088787,0.67139341,0.623762009,-1,5.331799507,0.082480431,0.6
1_voice_en_35042680_iplap,31.12759816,5.937552923,4.319416136,5.49792849,58.58902976,0.45160337,0.357132581,4.632998098,52.59288482,56.37888092,0.498040056,0.591701321,37.17461765,0.378394442,0.342739658,4.355284164,4.777890193,5.034211865,0.961116369,0.980086468,0.96246583,0,0.77939415,3.621639252,2.1
1_voice_en_35042680_mkittalk,28.20681989,3.822332048,7.272392314,4.563495787,67.1782662,0.317639292,0.33205257,3.748900914,43.78402575,53.01634088,0.657607327,0.55189037,48.66648888,0.502235384,0.171326919,3.642672174,3.750861078,4.527218689,0.720657474,0.790824063,0.733214382,-2,2.69397831,0.202832222,1.2
1_voice_en_35042680_sad,33.8673091,5.329118375,5.657778779,5.832438754,73.31567104,0.375666398,0.421440784,4.925362464,67.0826698,60.8552512,0.513547779,0.607104712,74.01688323,0.540659723,0.511695094,4.715034064,4.913078162,5.246904681,0.791018281,0.890375637,0.795076571,-1,4.247265816,0.286997795,4.7
1_voice_en_35042680_vidtalk,38.76040789,3.69717589,5.870134985,5.87100771,49.03204168,0.258460518,0.251107216,4.291655511,51.99378866,53.50567668,0.384544889,0.53098653,24.87897432,0.291694542,0.299225147,4.247631641,4.695274662,5.147870843,0.840445109,0.888464905,0.807299881,-1,4.914144516,0.212675095,3.7
1_voice_en_35042680_wavlip,42.32538162,5.7729941,4.931597564,4.882292417,55.56478449,0.449858338,0.359028056,4.714712902,42.36784542,51.22520521,0.321390302,0.388054458,30.37975722,0.336574069,0.234948741,4.222686264,4.74901647,4.616224699,0.87559247,0.891738456,0.875924072,-3,5.404933453,0.841966152,0.4
1_voice_en_35042753_ahead,45.76147418,3.845107034,8.367021237,4.445381747,67.89895902,0.325433907,0.371118741,3.869424048,45.87508442,55.32140325,0.475628984,0.523077792,56.88112986,0.469147123,0.059724204,3.461512294,3.973928032,4.384156781,0.562353397,0.65155153,0.530174015,0,6.409022331,0.262205124,0.1
1_voice_en_35042753_dinet,29.35933842,6.15054144,4.23368918,5.596400256,60.76072317,0.459741165,0.369879053,4.645464749,58.93671467,61.25410917,0.540449845,0.606867133,42.51641422,0.392673265,0.357224232,4.524837878,4.797412349,4.943191715,0.814882047,0.844129392,0.818626593,-1,3.821825027,0.38366127,3.7
1_voice_en_35042753_dreamtalk,19.63512072,6.32630723,6.605938023,4.887270083,72.1419936,0.615205924,0.426169429,4.166783311,53.47737779,60.75601212,0.64443675,0.500772627,65.17416029,0.549410002,0.17048033,3.529035347,4.170749393,4.936096287,0.612684139,0.676187582,0.599922556,-1,5.178898811,0.413831711,1
1_voice_en_35042753_iplap,31.40211984,5.952499679,4.302483139,5.497538618,58.65295811,0.45293767,0.356694352,4.63779508,52.56584536,56.2551069,0.492297131,0.589576286,37.21043483,0.378515403,0.338603614,4.363886975,4.78151561,5.02808251,0.961325701,0.980657409,0.963988871,0,0.452235222,3.002547264,1.3
1_voice_en_35042753_mkittalk,25.33675628,4.11174708,6.945144379,4.54382964,67.70937774,0.325056693,0.343169099,3.831805435,45.60295429,56.94359299,0.65514797,0.562627809,52.64007556,0.51882293,0.183121203,3.702716857,3.887621061,4.554805802,0.782813133,0.830353398,0.791413417,-3,2.915661812,0.785950661,3
1_voice_en_35042753_sad,34.81658078,5.263505419,5.740190749,5.744166861,73.57478202,0.365623029,0.404158937,4.832773636,67.38211773,61.52609379,0.505811665,0.610604595,72.15430126,0.531989064,0.501519069,4.622398207,4.816888316,5.150684959,0.785294992,0.878439174,0.784413764,-1,3.82171917,0.941871643,4.5
1_voice_en_35042753_vidtalk,38.7797398,3.710589863,5.872513483,5.845432479,49.51965213,0.257016493,0.249562954,4.302303356,52.02079891,53.31458107,0.381884613,0.530196169,24.94095499,0.293935263,0.301719333,4.249252213,4.705337747,5.139663208,0.840132934,0.896312397,0.811912615,-1,5.010178089,0.902019978,2.3
1_voice_en_35042753_wavlip,42.06820664,5.776940315,4.918753623,4.893589816,55.57296587,0.454993116,0.361924434,4.695922329,42.23988916,51.28441818,0.326554583,0.390527958,30.60573825,0.337211725,0.241605263,4.21909381,4.749194086,4.618368312,0.878357217,0.893747879,0.876254052,-3,5.406377316,0.405698299,1.7
